source_file,source_table,survey_year,metric,tenure,breakdown_var,breakdown_val,geography,stat_type,quality_measure,quality_value,quality_unit,reliability_flag,reliability_note
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,median_cost_income_ratio,renter_private,lower_income_state,Private landlord,Tasmania,lower_income,moe_95,5.9,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_25_or_less,renter_private,lower_income_state,Private landlord,Tasmania,lower_income,moe_95,11.2,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_25_to_30,renter_private,lower_income_state,Private landlord,Tasmania,lower_income,moe_95,7.5,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_30_to_50,renter_private,lower_income_state,Private landlord,Tasmania,lower_income,moe_95,7.3,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_over_50,renter_private,lower_income_state,Private landlord,Tasmania,lower_income,moe_95,8.3,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_total,renter_private,lower_income_state,Private landlord,Tasmania,lower_income,moe_95,0,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_over_30,renter_private,lower_income_state,Private landlord,Tasmania,lower_income,moe_95,6,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,households_000,renter_private,lower_income_state,Private landlord,Tasmania,lower_income,rse_pct,12.5,per_cent,standard,Relative standard error is below 25%; no high-RSE caution flag is applied.
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,median_weekly_cost,renter_total,lower_income_state,Total renters,Tasmania,lower_income,rse_pct,5.3,per_cent,standard,Relative standard error is below 25%; no high-RSE caution flag is applied.
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,median_cost_income_ratio,renter_total,lower_income_state,Total renters,Tasmania,lower_income,moe_95,1.7,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_25_or_less,renter_total,lower_income_state,Total renters,Tasmania,lower_income,moe_95,6.8,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_25_to_30,renter_total,lower_income_state,Total renters,Tasmania,lower_income,moe_95,6.3,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_30_to_50,renter_total,lower_income_state,Total renters,Tasmania,lower_income,moe_95,6.2,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_over_50,renter_total,lower_income_state,Total renters,Tasmania,lower_income,moe_95,6.3,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_total,renter_total,lower_income_state,Total renters,Tasmania,lower_income,moe_95,0,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_over_30,renter_total,lower_income_state,Total renters,Tasmania,lower_income,moe_95,6.9,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,households_000,renter_total,lower_income_state,Total renters,Tasmania,lower_income,rse_pct,8.9,per_cent,standard,Relative standard error is below 25%; no high-RSE caution flag is applied.
