date,value,series,series_id,category,unit,frequency
2021-06-01,165.83129584352076,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2021-09-01,176.38549307253464,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2021-12-01,186.79706601466992,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2022-03-01,189.6088019559902,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2022-06-01,187.69356153219235,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2022-09-01,181.43846780766094,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2022-12-01,181.5403422982885,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2023-03-01,181.51996740016298,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2023-06-01,186.40994295028523,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2023-09-01,188.5085574572127,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2023-12-01,193.43928280358597,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2024-03-01,196.02689486552566,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2024-06-01,200.12224938875306,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2024-09-01,200.34637326813365,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2024-12-01,204.3398533007335,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2025-03-01,205.33822330888344,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2025-06-01,209.84107579462105,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2025-09-01,214.119804400978,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2025-12-01,221.84189079054605,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2026-03-01,226.3854930725346,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
