date,value,series,series_id,category,unit,frequency
2020-12-31,2.9,Lending rates; Housing credit; New loans funded in the month; Investment; By loan-to-valuation ratio at commitment; Greater than or equal to 81%,FLRHILB,Housing Finance,Per cent per annum,Month
2021-01-31,2.9,Lending rates; Housing credit; New loans funded in the month; Investment; By loan-to-valuation ratio at commitment; Greater than or equal to 81%,FLRHILB,Housing Finance,Per cent per annum,Month
2021-02-28,2.9,Lending rates; Housing credit; New loans funded in the month; Investment; By loan-to-valuation ratio at commitment; Greater than or equal to 81%,FLRHILB,Housing Finance,Per cent per annum,Month
2021-03-31,2.9,Lending rates; Housing credit; New loans funded in the month; Investment; By loan-to-valuation ratio at commitment; Greater than or equal to 81%,FLRHILB,Housing Finance,Per cent per annum,Month
2021-04-30,2.8,Lending rates; Housing credit; New loans funded in the month; Investment; By loan-to-valuation ratio at commitment; Greater than or equal to 81%,FLRHILB,Housing Finance,Per cent per annum,Month
2021-05-31,2.8,Lending rates; Housing credit; New loans funded in the month; Investment; By loan-to-valuation ratio at commitment; Greater than or equal to 81%,FLRHILB,Housing Finance,Per cent per annum,Month
2021-06-30,2.8,Lending rates; Housing credit; New loans funded in the month; Investment; By loan-to-valuation ratio at commitment; Greater than or equal to 81%,FLRHILB,Housing Finance,Per cent per annum,Month
2021-07-31,2.8,Lending rates; Housing credit; New loans funded in the month; Investment; By loan-to-valuation ratio at commitment; Greater than or equal to 81%,FLRHILB,Housing Finance,Per cent per annum,Month
2021-08-31,2.8,Lending rates; Housing credit; New loans funded in the month; Investment; By loan-to-valuation ratio at commitment; Greater than or equal to 81%,FLRHILB,Housing Finance,Per cent per annum,Month
2021-09-30,2.8,Lending rates; Housing credit; New loans funded in the month; Investment; By loan-to-valuation ratio at commitment; Greater than or equal to 81%,FLRHILB,Housing Finance,Per cent per annum,Month
2021-10-31,2.7,Lending rates; Housing credit; New loans funded in the month; Investment; By loan-to-valuation ratio at commitment; Greater than or equal to 81%,FLRHILB,Housing Finance,Per cent per annum,Month
2021-11-30,2.8,Lending rates; Housing credit; New loans funded in the month; Investment; By loan-to-valuation ratio at commitment; Greater than or equal to 81%,FLRHILB,Housing Finance,Per cent per annum,Month
